Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date",Time,"Avg IV","20D His Vol"
XLI|20210319|88.00P,XLI,88.00,-7.84%,0.05,0.11,0.17,0.14,-0.16,-53.33%,3,"2,556",0.00,36.86%,Put,7,03/19/21,03/10/21,27.40%,18.69%
XLI|20210319|88.50P,XLI,88.50,-7.32%,0.01,0.23,0.45,1.66,0.70,+72.92%,31,61,0.51,41.44%,Put,7,03/19/21,03/04/21,27.40%,18.69%
XLI|20210319|89.00P,XLI,89.00,-6.80%,0.02,0.11,0.20,0.23,0.01,+4.55%,868,"7,143",0.12,32.74%,Put,7,03/19/21,03/10/21,27.40%,18.69%
XLI|20210319|89.50P,XLI,89.50,-6.27%,0.02,0.27,0.52,0.58,-0.01,-1.69%,6,262,0.02,38.47%,Put,7,03/19/21,03/03/21,27.40%,18.69%
XLI|20210319|90.00P,XLI,90.00,-5.75%,0.08,0.14,0.20,0.14,-0.03,-17.65%,26,"2,700",0.01,30.24%,Put,7,03/19/21,03/11/21,27.40%,18.69%
XLI|20210319|90.50P,XLI,90.50,-5.23%,0.02,0.35,0.67,0.65,-1.06,-61.99%,11,21,0.52,36.30%,Put,7,03/19/21,03/08/21,27.40%,18.69%
XLI|20210319|91.00P,XLI,91.00,-4.70%,0.15,2.53,4.90,0.23,-0.09,-28.13%,4,352,0.01,29.66%,Put,7,03/19/21,03/11/21,27.40%,18.69%
XLI|20210319|91.50P,XLI,91.50,-4.18%,0.25,2.60,4.95,0.23,-0.13,-36.11%,98,"3,031",0.03,83.21%,Put,7,03/19/21,03/11/21,27.40%,18.69%
XLI|20210319|92.00P,XLI,92.00,-3.65%,0.14,2.49,4.85,0.34,-0.19,-35.85%,"6,163","6,522",0.94,28.29%,Put,7,03/19/21,03/11/21,27.40%,18.69%
XLI|20210319|92.50P,XLI,92.50,-3.13%,0.10,2.53,4.95,0.35,-0.21,-37.50%,6,221,0.03,25.86%,Put,7,03/19/21,03/11/21,27.40%,18.69%
XLI|20210319|93.00P,XLI,93.00,-2.61%,0.05,0.98,1.90,0.52,-0.13,-20.00%,10,206,0.05,27.40%,Put,7,03/19/21,03/11/21,27.40%,18.69%
XLI|20210319|93.50P,XLI,93.50,-2.08%,0.02,0.86,1.70,0.67,-0.67,-50.00%,5,8,0.63,27.69%,Put,7,03/19/21,03/11/21,27.40%,18.69%
XLI|20210319|94.00P,XLI,94.00,-1.56%,0.08,0.56,1.03,0.80,-0.15,-15.79%,6,134,0.04,27.01%,Put,7,03/19/21,03/11/21,27.40%,18.69%
XLI|20210319|94.50P,XLI,94.50,-1.04%,0.02,2.51,5.00,0.81,-1.00,-55.25%,1,25,0.04,23.50%,Put,7,03/19/21,03/11/21,27.40%,18.69%
